Title,Price,Sold,Reviews,Condition,Brand,Area Covered,Power Source,Control Style,Mounting Location,Operating Sound Rating,Number of Heat Settings,Colour,Type,Item Dimensions,Material,Item Length,Item Width,Item Height,Colormap,Product Type,MPN,Model,Heating System,Voltage,Features,Power,Energy Efficiency Rating,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),BTU Heating Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Depth,EC Range,EAN,Country/Region of Manufacture,Color,UPC,Year Manufactured,Air Direction,Smart Home Protocol,Power (W),Unit Type,Design,Voltage Supply,Timer Control,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Modification Description,Battery Included,Bundle Description,Custom Bundle,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Height,Heating Wattage,PackQty,Current Rating,ISBN,Publisher,Refrigerant,Tonnage,Manufacturer Warranty,Smart Home Compatibility,Size,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Amperage (amps),Heating Technology Type,Voltage (volts),Product Weight (lb),Heating Product Type,GTIN,Energy Star,Item model number,Batteries Required?,Assembly Required,Country of Origin,Heating Method,Number of Pieces,Package Dimensions,Included Components,Compatible Brand,Age Group,Brand Color,Chemical,Cooling BTU/Hr,Fuel Consumption,Fuel Rate (gal./hr.),Fuel Tank Capacity (gal.),Gender,Heat Rating (Btu/Hr.),Ignition Type,Style,ItemWidth,ItemLength,ItemHeight,Model Number,Package,Piece Count,Installation,Bundle Listing,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,manufacturer_part_number,Heat Output,JAN,Tracking,ShippingService,Heating Technology,Manufacturer Color,Heater Style,Width,Model No.,Pattern Name,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,Room,ProductTypeName,PartNumber,ProductGroup,Binding,Label,NumberOfItems,Studio,MaterialType,PackageQuantity,Warranty,item_width,item_length,Heat rating (BTU/hour),Pack Size,Brand compatible,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Product Name,Thickness,Compressor Type,Housing Material,Fuel Type,Cord Length (ft),Assembled Height (in),Item Location,Outdoor Living Product Type,Color/Finish,Assembled Depth (in),Total BTU,Shipping,Quantity,Heating Area (sq ft),Patio Heater Type,Assembled Width (in),Tax,Item Weight Major,state limitations,Area Heated (Sq. Ft.),Product Weight (lb.),Heat Output (BTU/hour),Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,package_length,Country Of Origin,Platform,Languages,IsMemorabilia,IsAutographed,Department,SKU,Temperature control,Watts,Plug Type,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Thermostat,Safety tip-over switch,Fuel type,Heat type,Oxygen depletion sensor (ODS),High limit safety shut-off (HLS):,Indoor safe,Ignition,Hose & regulator included,BTU per hour:,Heating area (sq. ft.),Tank capacity (min.),Runtime,Maximum elevation,Connectivity,Dosage,Product,Format,Compatible Model,Author,Book Tittle,Language,UPC/GTIN Code,Mor Electric Heating SKU,Satisfaction,Product Dimensions,Heating settings,Wattage,Restricted States,ItemPackageQuantity,Power Line,Item,Return,OPEN BOX,Customer Return:,State limitations,Product name,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,Shipping Weight,Unit Quantity,Heating BTU,Manufacturer Colour,Finish,Room Coverage Area,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,Accessory Type,Item Package,assembled_product_dimensions_l_x_w_x_h,power_type,recommended_location,assembled_product_weight,manufacturer
"LifeSmart 1500W Portable 23"" Electric Infrared Quartz Tower Space Heater, Indoor",109.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LifeSmart,,Electric,Remote Control,,,3,,Infrared,,,13.94 in,12.91 in,,,,HT1216,HT1216,,,Timer,,,,,,,,,,,,Unknown,Brown,817223018886,,,,,,,,12 Hours,,,,,,,,,,,,,,,,,,,,26.97 in,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LPC25 Convection-Style LP Gas Heater, Up to 25,000-BTU - Quantity 1",106.77,24 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",World Marketing of America,,Propane,Analog/Mechanical,"Floor, Wall",,1,,Convention Heater,,Steel,11.7 in,11.7 in,,,,LPC25,Dura Heat LPC25,Convection,n/a,Auto Shut-off,7327 W,,,,,25000 BTU,,,11.7 in,,,China,Gray,013204200251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Space Heater Infrared Quartz Floor To Wall Unit Remote Quiet 1,000 Watt",107.96,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,451-500 sq ft,Electric,"Remote Control, Touch, Digital","Wall, Floor",,2,,,,Steel,,,,,,HS1000WA,Heat Storm HS-1000-WA,Infrared,12 V,"Auto Shut-off, Timer",,,,,,Less Than 2000 BTU,,,,,Does not apply,,White,0854271005451,2000,1-Way,"Wi-Fi, Infrared",,,,,,,,,,,,,,,,,,,,,,,,13 Inches,,,,5.1-10 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F271803 12' Hose With Regulator & Quick Disconnect,105.47,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,Does not apply,,,089301718036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0089301718036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 5 1500W Space Heater with Auto Climate Control Tuned Heat White,110.0, , ,,Vornado,,Electric,Touch,Floor,,,,Portable Heater,,,,,,,,Does Not Apply,Velocity 5,Forced Air/Fan,120 V,,,,,,,,,,,,,,White,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro kotatsu heater halogen heater MHU-601E(K) New Japan,108.05,Free shipping and returns, ,,Metro,,Electric,,,,1,,,,,,,,,,MHU-601E(K),,Furnace,100 V,,,,,,,,,,,,4948309101454,,Black,4948309101454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro electrical industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VORNADO AVH2 PLUS ADVANCED WHOLE ROOM VORTEX FAN HEATER WITH AUTO CLIMATE ~ NOS ,105.0, ,"['Unit arrived before its scheduled arrival date, works as described, and accurate with temp auto set, I just hoe the timer button will have a (0) settings because right now if you hapen to have mistakenly click that button, then you have to click it 12 more times to bring it to (0) again, because it has a 12 hour settings, and there is no way to cancel it unless you click the same button 12 more times to bring it to (0) againunit circulate the air evenly all over the room with its unique twirling vent movement, product is quiet and works niceAnother thing I wish the digital display was  a lit up display, to set up the unit Temp you need a lot of light to see the digits on its some what dark screen', 'This Vornado heats entire room quietly &amp; evenly and the thermostat keeps the temperature exactly where you want it. Quality product. Did have to temper out the smell it emits on first use. Just ran it on high outside in shed for about 8 hours until the odor was no more. No problem!!', ""Damn near perfect. I love the timer and the option to set temperature down to the exact degree.  It's so quiet you don't notice it's running until you either get up real close, or you feel the warm air blowing. Only thing I would add is the ability to have it turn on at a certain time in addition to the current option of turning off."", 'Product is good - it is hard to figure out how to shut of the item though since it is all digital now.', ""I had an older version of the AVH2. Had it for many years til it finally gave out and I purchased this newer unit. I have it in my bedroom on low heat set at 66 degrees. It puts out some decent heat even on that low of a setting. Not good for a very large room but, smaller rooms you just can't go wrong. Excellent product..... !!!!!!"", 'Best of the Vornado whole room heaters for functionality - some of the others come on as fan each time you turn them on and you have to then set heat temp whereas this one remembers how it was last set.We have 3 of them in our house to bump up the heat just where we need it.  My grown-up kids all have them too after seeing how great they are.Definitely saves on heating costs and we use less propane because of it.', 'I am using the Vornado AVH2 to heat part of a large finished basement space. It runs very quietly and does a good job of heating up the space quickly.', 'Product as expected.  Warms this space very well.', 'It is all you said it would be,quiet, and heats a room without much effort.']",,Vornado,,Electric,"Switch, Digital, Push Button, Touch","Wall, Floor, Cabinet",None,2,,Portable Heater,,Heat resistant plastic,11.9,11.7,,,,EH1010406,Vornado AVH2 PLUS,Forced Air/Fan,120 V,Timer,1001-1500 W,,Coil,,Less Than 80%,5000-5999 BTU,N/A,Unknown,9.2,,,United States,"Multicolor, Black",0043765009765,Unknown,Vortex Heat Circulation,Digital,,,,,12 hrs,,,,,,,,,No,,,,,,,,,,,,,,10.1-15 A,,,N/A,N/A,5 Years,Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrared Wall Space Heater 1000-Watt Plastic 2-Heat Wi-Fi Thermostat Indoor,105.67,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,"Under 150 sq ft, 500 sq ft",Electric,"Voice,Digital,Remote Control,Touch, Thermostat, Touch,Remote Control, Remote Control, Digital,Voice,Touch,Remote Control, Voice,Touch,Remote Control,Digital, Digital, Voice,Touch,Digital,Remote Control, Touch, Touch,Digital,Voice,Remote Control, Voice","Floor, Wall, Floor,Wall",,2,,"Infrared, Infrared Bulb Heater",,Plastic,4 in.,13 in.,,,,HS-1000-WX-WIFI,HS-1000-WX-WIFI,Infrared,110 V,"Wall-Mountable, Thermostat, Remote Control, Cool-Touch Exterior, Indoor",1000 W,,,,,3400,,,,,Does not apply,,White,0854271005987,2019,,Wi-Fi,,,,,15 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electric Portable Heater Thermostat Timer Digital Display Nonslip Base,107.81,30-day returns,"['The Lasko Cyclonic ceramic Heater is a great choice to heat a room.  Why?  well, here is what I think about my new heater.First, i was looking for a heater to use in my 160 Sq ft shop, that didn\'t take up a whole bunch of space. The Lasko heater is a good compact size, unlike Baseboard heaters that take up three to five or more feet of wall space, where you can\'t put things in front of them, this heater is only about 17"" wide.  Or my former oil radiator heater, that works well, but I had to pull it out from the wall to use it, as it gets hot all around it.This heater will heat a larger room, but I chose it because I wanted a fairly fast warm up, when I start to work.  I chose Electric because I don\'t want fumes or have to worry about getting Propane, or Kerosene.  I like the feel of the Electric heat.This heater has a thermostat that can be set, and a timer if you want it to go off by itself. Very Convenient !  It draws the cool air from the floor, and blows warm air out the top, from it\'s moveable ( up and down) exhaust.  The Fan forced air can travel most of the way across the room, which helps circulate the warmth evenly.The heater fan has two speeds so it\'s quiet enough to use in a bedroom if you want, and can be put right up against the wall so it\'s out of the way.I have used this in my shop for several days now, some as cold as 25 degrees outside, and this Lasko heater warms the shop up to a comfortable (for me) 68 deg. in about 30 minutes.Because it\'s only 25"" tall, the temperature the display on the front says, may need to be adjusted to your own likings, but I\'ve found once the whole room has warmed up the temp. displayed is within 2 degrees of the Thermometer I have on the other end of the room.So it does keep up with the set temperature when in thermostat mode fairly well. You can just have it on low heat or high heat all the time, but I like the convenience of the thermostat mode. It\'s simple to operate, and comes in several colors, to match your decor. While the housing is mostly Plastic, the Heater is sturdy enough. Because it is only 6.5"" deep, it stays tucked up tight ot the wall out of my way, and doesn\'t heat up the wall, like my oil/electric radiator did, but fear not if you tip it over, it has automatic shutoff.I don\'t have any complaints about this heater. I think it\'s just about perfect for small shops like mine, or a cold bedroom , or even to heat larger areas. Lasko made a good all around Electric heater here.', ""i've been using these for 7yrs now, after 4yrs took apart and cleaned them (i have 5) and even the 7yr old works as it did when new, i dont like to waste money so i have stuck with this model, i have the electronic version also (black)at another location, they are okay but not built the same inside, these seem to be better built, they do what they are designed to do, and i always use the ceiling fan to bring the heat down and mix it up so they dont run forever. i run 1 in each bedroom and two in the living room, not too loud, i know they are not a furnace, temperature at the grill is abt 200 degrees coming out so i use the ceiling fans on low or medium to help mix it up otherwise all the heat stays up at the ceiling. I feel this is the best heater in this class."", 'Nice heater that does a great job. Already own 6. Is an inexpensive way to heat house and safer as well. Does not impact the electric bill hardly any at all. Do not have to worry about tipping over, has solid stand. I use to use gas as a means of heating my two story house until I found this type of heater. I have purchased four or five other heaters of this type for relatives and friends.', ""bought two of them in the past 2 years and both of them were defective. I have one that is 10 to 15 years old and still works. that's why i wanted one the same brand. MUST NOT BE TESTING THEM !!!"", 'Unstable. No tip over feature. Never stopped outgassing plastic smell.', 'Borrowed a lasko heater last year coverage was great economical and safe so bought the same model very happy with it!', 'This heater works safely when it is sitting against the wall. To adjust to any temperature is very easy. It also shows the actual temperature in the area.', 'I purchased this heater, to use in my RV.  It is quite efficient.  Enjoying the efficiency and temperature control.  ', ""I now own three (3) of 'em... The oldest one is starting its 5th winter.  "", ""OUR LIVING ROOM IS BIG AND WE KEEP THE THERMOSTAT DOWN TO 68 WE NEEDED AN EXTRA HEATER TO HELP KEEP IT WARMER. WE DO NOT LIKE IT HOT TO SLEEP SO WE TRIED THIS. REALLY LIKE IT CAN STAND IT AGAINST THE WALL AND NO WORRIES. THE AIR IS DRAWN IN THE BOTTOM AND COMES OUT THE TOP NICE AND WARM.THE ONLY CHANGE I WOULD MAKE IS FOR THE AIR TO BE DRAWN IN THE TOP AND COME OUT THE BOTTOM NICE AND WARM,DUE TO COLD FLOORS. TRIED TO FIND ONE BUT DIDN'T. ANYHOW, THIS HEATER IS VERY GOOD.EASY TO MOVE. STURDY ENOUGH TO STAY STANDING.  *****    FIVE STARS""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,251-300 sq ft,Electric,Digital,,,1,,Portable Heater,,Ceramic,,16.65 in,,,,758000,Lasko 758000,,120 V,Timer,1001-1500 W,,,,,,,,,,0046013760401,,"Silver, Gray",0046013760401,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet CSC202W Com-Pak Wall Heater - White,109.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,251-300 sq ft,"Fan, Electric","Rotary Knob, Switch",Wall,None,Variable,,Unit Heater,,"Aluminum, Steel",,,,,,CSC202W,Cadet CSC202W,Forced Air/Fan,240 V,Auto Shut-off,1501-2000 W,,Coil,Steel,,6000-6999 BTU,,,,,,,White,0027418675446,2000,1-Way,"Bluetooth, Bluetooth/Bluetooth Low Energy (BLE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN BROWN KBH-7500W - 240v Ceiling Mount Electric Digital Forced Fan Heater,109.04, , ,,KEN BROWN,,,,,,,,Forced Fan Heater,,Metal,,,,,,KBH-7500W,KBH-7500W,,,,,,,,,,,,,,,,Black,does not apply,,,,,,,,,KBH-7500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater 1500-Watt Oil-Filled Radiator Adjustable Thermostat Black,105.76,30-day returns,"['Good value great product ￼', 'This is a good buy for winter nights.', 'Great size, price and shipping!', 'Works great in the motor home.', 'Bought it for my son and daughter-in-law and they said it works amazing. ', 'Excellent Heater, Highly Recommended', 'nice item', 'Heater was as advertised', 'I wanted something with a digital readout, and some kind of timer. This fits the bill. Working well so far.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Costway,151-200 sq ft,"Oil, Electric",Analog/Mechanical,Floor,Standard,3,,Portable Heater,,Steel,,,,,,EP24919US-BK,,Radiant,120 V,Timer,1001-1500 W,,Coil,Steel,Less Than 80%,5000-5999 BTU,,,,,6499852271722,,Black,744110678826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,25,300,13,Dial,Medium,Oil-Filled,"ETL Certified,UL Certified",Blacks,"Auto Shut Off,Tip-Over Safety Switch",78.74,Indoor,10,Electric,"Automatic Shutoff,Handle,Thermostat,Wheels",1500 W,12.5 A,Radiant,120,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Room Space Heater Low Profile 1500-Watt Digital Display Silent Portable,107.03,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,,,,,,,,Does not apply,,,,,,,,,5624,,120 V,,,,,,,,,,,,0711181448528,,,744759237446,,,,,,,,,,Lasko,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,9,300,3975,Electronic,Medium,Ceramic,ETL Listed,,,72,Indoor,55,,Auto ShutoffNonslip BaseThermostatTimerTip-Over Safety Switch,1500,125,Convection,,111,Electric Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyna-Glo 360 Degree Radiant Lp Tank Top Heater - 35000/30000 Btu,109.99, ,"['This heater is easily assembled (mounting bracket) and attaches quickly to the propane tank.  If using outside, the heat disbursement can be a narrow range around the setup due to not having a large reflector above the unit. That being said, it still works well when gathered around it.  If using within a ventilated enclosure, such as a garage, this heater when warm the area quickly and keep it that way.  I have yet to use a complete tank with the unit but have put a lot of hours on it.  It seems to not consume propane as fast as I thought it might.. which is a pleasant surprise.', 'This is quite a useful unit. The 360° heat output is perfect for chilly outside events and for use in case of a power outage as a back up, temporary source of heat. Although the burner itself is covered you would need to keep small children in away to avoid burns if touched.', ""Well, it was cold as heck at the last race event we had in Andalusia Alabama. I had to keep my truck running while I was there all day and sat in it between motos. I researched heaters from every avenue I could come up with. HF has a two head burner type that only points in one direction. Other resources sold the same 360 for what I'd consider too much expense. When I saw the price at an affordable cost via this ebay seller I jumped at it so fast I think Paypal felt the wind blowing. The shipping was faster that the ETA date which made it nice. Right now our weather reports conflict from one TV broadcast to the next. All I know is from what I read if it operates at all and I didn't buy a lemon then I feel like I am in luck. Needless to say I haven't used it yet. The weather report for this coming weekend 05 FEB 17 at GAMX in Andalusia doesn't have the temperature dropping to an uncomfortable low like our last event. I will still bring it because I have to be there before 7am so the temperature might be below 40 degrees. Which that might make me want to take it out of the box. One thing I am looking forward to is not having to stand by a bonfire and having the wind shift blow smoke in my face. I understand from what I read it could be possible to roast a mashmellow or cook a hotdog on a stick. But I think I am smart enough even though I live in the bottom of Alabama to step back from the heat at a comfortable distance. I did build a safety feature to hold the 20 lbs propane bottle upright using a stabilizer platform Lowes sold me attached to  a piece of plywood. I hope some person not paying attention doesn' t make a fool out of themselves or blow us all to smiterinez. My finger are starting to get writing cramps and my spell'g is fadin' plus I did the 1st thru the 6th grade twice. The school sytem gut tired of me sitten in class especially sinc I was bigger than the odder chilrenz. I tink I werz intemitaten the odder kids and sum of the mommies piken up there kids see to want to take me home for won reasen or aknotter. My ma and pa warned me about those kind of ladyz' and my giblets were rumbling with some sort of ovr pwerg  oh my lord what the heck am I writing"", ""the unit heats you at waist height so there no wasted fuel and the tip shut off is a great featureI'm going to buy a couple more they heat my hangar great"", ""I bought this heater for my un-insulated 14x24 foot shop. I've used a kerosene heater for years but when it really gets cold, it just doesn't cut it. I haven't used this Dyna-Glo a lot BUT  when you fire this up, it makes big heat RIGHT NOW! So far, the only drawback I see is that propane is a lot more expensive than kerosene. An $18 20lb bottle will last about 8 hours (I think) and the same time on my kerosene would cost about $5. I'll only use the propane when it's really cold. Bottom line is still....I'd recommend this heater."", 'The Dyna-Glo heater is the best gas heater i have ever owned. I use it to heat my garage when im gonna be out there working for any length of time. It heats my garage very fast. Before i would use my kerosene heater for this purpose and it would take around an hour whereas the Dyna-Glo only takes about 8 to 10 minutes. I tested them both at the same time the other day and the Dyna-Glo on the( low setting) was out heating the kerosene heater on high. This is a great heater, and without the strong kerosene smell. The Dyna-Glo is lightweight and very simple to use and burns very clean. Also has some great safety features and cools off fast after using. I may never use the kerosene heater again."" Sorry ole Friend "".', 'Works great, wish it had an electronic start or even push button, but other than that, love it', 'This heater works PERFECTLY! There\'s a ton of heat generated by this unit which totally and pleasantly surprised me. I use it in my garage for a small gathering of adult beverage consumers and it really kept us warm. One little tip though and that is that so much heat rises from the top of this unit that I rigged a ""hanging"" dome (such as a Weber Grill type lid) about 2 feet above it to keep the heat at a lower level, and this also added a great hand warming option. PERFECT item!!!', 'I used it once.  It hooked up easily.  I had no problems lighting it.  It got hot like it should.', 'This heater is small but works big. It is easy to operate and works good . It was a good buy']",,GHP Group,951-1000 sq ft,Propane,"Dial, Switch",Floor,,1,,Tower Heater,,"Chrome, Steel",,,,,,"TT360DG, 236544",Dyna-Glo TT360DG,Radiant,,,,,,,,40000 BTU,,,,,,,Silver,0872076025030,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
