Title,Price,Sold,Reviews,Condition,Style,UPC,Power Source,Color,MPN,Item Length,Smart Home Compatibility,Heating Element Format,Brand,Air Direction,Heating Element Material,Type,Control Style,Heating System,Voltage,Model,Mounting Location,Item Width,Power,Colour,Material,Features,Number of Heat Settings,Smart Home Protocol,Country/Region of Manufacture,Refrigerant,Cable Length,Year Manufactured,Location,Size,Custom Bundle,Unit Quantity,Energy Efficiency Ratio (EER),Manufacturer Warranty,Modified Item,EAN,Item Depth,Tank Capacity,Tonnage,Area Covered,Manufacturer Color,Height,Heating Wattage,Heater Style,Heating Technology,Recommended Environment,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,Package Contents,Normal temperature resistance,Item Height,Product Lot Quantity,Room Coverage Area,Width,BTU Heating Rating,PackQty,Manufacturer Part Number,Current Rating,Type  1,Energy Star,Timer Control,EC Range,Overall Length,Overall Length (In.),Terminals,Sheath Material,NumberOfItems,Restricted States,Weight,Slotted Hole Width,Mounting Dimension,Application,Watts,Max. Sheath Temp.,Screw Size,Length,Mounting Type,Watt Density,Phase,Slotted Hole Length,Manufacturer,New Title,Item Weight,Prop65_fl,Prop65Warning,Power Type,ISBN,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Item model number,Warranty Description,Product Dimensions,Country of Origin,Batteries Required?,Heating Method,Item Dimensions LxWxH,Import Designation,Is Discontinued By Manufacturer,Included Components,Room Size,Indoor/Outdoor,Portable Heater Features,Heater Type,Voltage (volts),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Wattage (watts),Color Family,Power/Fuel Type,Amperage (amps),Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Certifications and Listings,Product Weight (lb),Assembly Required,Material Care Instructions,Number of Pieces,Warranty - Parts,Warranty - Labor,Noise Level,Model Number,Category,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,assembled_width_in,assembled_depth_in,room_size,heater_type,assembled_height_in,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,amperage_amps,voltage_volts,product_weight_lb,ProductGroup,ProductTypeName,Use,Gift,Offer,Return,Quality,SHIPPING,Ships from,Customer Service,Main Colour,Hight,Power (W),Compressor Type,Number of Cool Speeds,Specification met,Bulb Type,Heating Technology Type,Mount Location,Depth,Heating Product Type,Area Heated (Sq. Ft.),Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,ASIN,item_width,item_length,Bundle Description,Battery Included,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Finish,Actual Color,Feature,Model No.,Product,SKU,Country of Manufacturer,package_length,Batteries Required,Item Diameter,Finish Types,Made For,Tank Sizes,manufacturer_part_number
700W Space Heater Tip Over & Overheat Protection for Travel Bedroom Indoor,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Black,Does Not Apply,,,,Unbranded,,,Space Heater,,,,,,,<800W,,ABS,,,,China,,,,,120x88x310mm,Yes,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric  600W Instant Warmer with PTC Ceramic Heating M3V7,61.10,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not Apply,,,Does not Apply,,,,Unbranded/Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TQXDCXFALZ,,,,,,,,,,,,,,,,,,,,,,,
Lifesmart Infrared Heater 1500-Watt 6-Element 5100 BTU Remote Control Plastic,60.00, ,"['heats very well, very lightweight, fan is very noisy, has a very annoying high pitch whine.', 'Works great as new but do not know for how long. Lifesmart heaters often do not last long  but are well priced. They certain reduce winter heat billing.', ""Really impressed what's the small unit heats up my room real nice"", 'Heats the room in below freezing temperatures by itself. Not too loud and has good build quality. ', 'Work well at night when wood stove gets low.  Keeps my bedroom toasty ', 'This a great heater!  Set the desired temp and fan speed and forget about it!', 'warmer than most 120 volts 1500-watt heaters that I have owned.', 'Good value, good quality, excellent product. ', 'I think it is better for small rooms. I tried it in my large family room and it didn’t do the trick', 'Have used for a week working fine so far!']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,0817223017780,,,,,,,Life Smart Labs,,,,Remote Control,,,HT1013,,,,,Plastic,,,,,,,,,,,,,,,0817223017780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Electric Heater Mini Portable Heater Stove Winter Household Camping New,63.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does Not Apply,Electric,White,N/A,5.15 in,,,Unbranded,1-Way,,Portable Heater,"Remote Control, Switch",,,,"Desk/Tabletop, Floor, Wall",5.12 in,,,Ceramic,"Timer, Easy to carry, Overheating protection, Adjustable temperature, Two heating mood, Low noise",2,,China,,,,,,No,,,,,,6.57 in,,,,,,,,,,,,,,,,,,,,,,,,Vary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreo Space Heater 70°Oscillating Portable Heater w/ Thermostat 1500W PTC Ceramic,62.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Alternating Current,,,,,,Dreo,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,5.51 x 6.69 x 10.31 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado SRTH Small Room Tower Heater Personal Black Efficient/Effective Heating,61.95,Last item available,"['For a small-size heater, it works great. Warms up a full-size bedroom with ease and the auto-shutoff is a great feature', 'I use this in place of turning in the furnace in those early fall days. I also use it for extra heat on the bitter cold days of winter.', 'We are using these heaters on a boat with 30 amp service so the lower lower wattage settings are perfect for our needs and very effective in the boat.', 'Very good tower heater - easy to adjust -', 'exactly as described. One of the best small heaters out there.', 'This is the third one I have purchased and they are absolutely great.  Perfect heater', 'Small size heater', 'Vornado  is a great company ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,726084592100,Corded Electric,Black,,,,,Vornado,,,Tower Heater,,,,,,,,,,,,,,,,,,,,,,,,0726084592100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67 pounds,,,,Does not apply,,,,SRTH,,,,,Forced Air,6.15 x 6.01 x 12.45 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Electric Heater Silent Warm Space Dormitory Winter 110V Fan Cooler Desk,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,Does Not Apply,,,,Unbranded,,,Portable Heater Fan,,,110 V,Portable Heater Fan,Desk,,3001-3500 W,,ABS,overheating protection,3,,China,,,,,27x23.5x19CM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cozy Products Foot Warmer Mat Electric Office Space Heater 14"" X 21"" Black",62.41,30-day returns,"[""In a Northern state, I've got an expensive office and the brilliant engineers designed a heating system with freezing cold floors. Not only that, constantly getting in and out of the car means inevitable snow on one's shoes in bad weather. This is a prescription for cold feet.This product is ideal for the job. Made of rubber so it's impervious to water or stains, cranks out the heat on high and trolls along beautiful on low. Plus, it's good size, bigger than the cheapie models so you don't have to think about where your feet are placed. Great value and highly recommended."", ""This rubber mat is excellent. I use it under my desk to keep my feet warm. It gets very hot. I believe around 135 degrees is what the mat heats up to. So this isn't some cheap mat that kinda gets warm.You can use it to warm your boots up also. The mat is injection molded one piece so it is water proof also. Would probably work great at the front door to melt snow or ice also."", ""Bought because our 70 yr. old house hardwood floors aren't insulated. This product is durable heats evenly perfect on cold nights to keep my feet warm in front of the tv. Did put down a piece of cardboard beneath the mat and floor as suggested by a previous purchaser's comment do not know if necessary. Have been using for weeks works great waterproof is a bonus, easy to keep clean.      arkansas"", 'The foot warmer arrived in a large, flat cardboard carton. Its switch (from high to low wattage and off) works well. This is the second one I have bought, both not for my feet but for my outdoor dogs/cats. Though it was not guaranteed for pets it works well in dog houses when the temperature is at 10 degrees F. Since it is sturdy for standing on with work shoes it also is tough enough for cats and dogs to sleep on. I put a special wrap on the AC wire to it to prevent animals from damaging the cord and usually use it at the low wattage setting. It is much more sturdy than the electric pet pads that are being sold.', 'My significant other has an office area just outside of our main house, the floor is cold and so were her feet until we put one of these mats under her desk and another by her photo tent.  Now her feet are warm and she is happy, so am I.  The wide range of heat settings and heavy construction make this a good purchase.', ""It's perfect!!!We live in Wisconsin with cold winter day's and night's. Hot water heat in our home so under the table gets real chilly because of having tile flooring.This unit is great because its warm enough to feel, yet not so warm you need to keep turning it on and off.I was also happy to see it had a lighted on/off switch about in the middle of the cord.If your legs ever get cool or cold under a desk or table, buy this unit!!!I wish I had it years ago and saved on the electric bill for the small heater I was using."", 'I repair watches my semi finished basement and I  have struggled trying to keep my feet and legs warm as my bench is against an outside wall. Have had an unheated rubber pad on the floor and it helped somewhat but this electric pad is great, l can actually sit in comfort even without shoes or extra pairs of socks.  Actually warms the air space for my legs too! Only used it for a few weeks but I am very impressed. Hope it lasts a long time.', ""It's a little hot for my feet in socks so I just folded up a bath floor towel into 1/4's and it's perfect in my basement office during the winter. I also use it with a Woods 50030 Indoor Countdown Timer so I never have to worry about leaving it on. Great product."", 'Take your shoes off and enjoy this foot pad on the coldest of days!!! Nice! And it has a handy on/off switch half way up the cord!!', ""I bought two of these foot warmers. One in March and one in May 2021.March purchased died in aprx September.May purchased survived till March 2022.Both were once placed under the table and never moved, so it's not a miss-use or broken cable. We always switched them off after several hours of use.Make your own judgment if it's acceptable. I don't think so.On the bright side - when it works it, well, works, keeping your feet warm.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0706069237332,Electric,Black,FBA_FW,,Cortana,,Cozy Products,,,,Switch,,110 V,FW,Floor,,,,Brass,Timer,1,EnOcean,,R-12,,,,,,,,,,0706069237332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17"" Space Heater 1500W Portable Electric Heaters Indoor Use Oscillating Ceram...",64.68, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,747492142411,,Black,Does not apply,,,,Money2U,,,,,,,Does not apply,,,,,,,,,,,,,,"17""",,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0747492142411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISHIJIE Electric Heated Foot Warmer Mat - Toes Warming Heater Heated Floor M...,61.16,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,Wood Grain,Does not apply,,,,TISHIJIE,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Infrared Wall Hung Heating Panel Castle Electric Film Heater 110V 470W,79.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Multicolor,Does Not Apply,,,,CG HOME,,,Panel,,,110 V,Infrared Wall Hung Heating Panel,,570 mm,,,technology based on a carbon thread,Portable,,,,,,,Bathroom,,,,,,,,,,,15 sq ft,,980 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Infrared Wall Hung Heating Panel Coffee Electric Film Heater 110V 470W,79.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Multicolor,Does Not Apply,,,,CG HOME,,,Panel,,,110 V,Infrared Wall Hung Heating Panel,,570 mm,,,technology based on a carbon thread,Portable,,,,,,,Bathroom,,,,,,,,,,,15 sq ft,,980 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 In. 500-Watt 240-Volt Electric Baseboard Heater In White,60.66,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0027418099501,Electric,White,9950,,,,Cadet,,,Baseboard Heater,Switch,,240 V,,Wall,,,,Steel,,1,,,,,,,,,,,,,0027418099501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GiveBest Tower Space Heater Portable Ceramic Heater 1500W/900W with Remote Co...,60.73, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,717565517811,,Silver Mesh,Does not apply,,,,GiveBest,,,,,,,Does not apply,,,,,,,,,,,,,,Normal,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0717565517811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN BOX Rowenta SO9276U2 Silence Comfort Electric Heater in Black / Silver,, , ,,,023108647205,Electric,Black/Silver,Does Not Apply,14.5,,Coil,Rowenta,,Stainless Steel,Heater,Switch,Forced Air/Fan,120 V,Not Available,Wall,9.5,1500 W,,Metal,Auto Shut-off,3,,,,,,,,,,Not Available,,,,Not Available,Not Available,,Not Available,,,,,,,Not Available,Standard,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater Space Heater for Indoor Use 1500W Fast Heating Ceramic Electric ...,62.67,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Does not apply,,Sliver,Does not apply,,,,G-Ocean,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPOLAR HE11 1500W/1000W CERAMIC TOWER SPACE HEATER,65.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,Blue,,,,,Opolar,,,Tower Heater,,Forced Air/Fan,,,"Desk/Tabletop, Floor",,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heater Fan, Small with Adjustable Thermostat Quiet for Home Bedroom Office",,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,Does Not Apply,,,,Unbranded,,,Portable Heater,Push Button,,110V-220V,heater,"Desk/Tabletop, Floor",,300-600W,,fireproof plastic Plastic and Metal,overheating power failure,1,,China,,,,,205×159×119mm,,,,,,,,,,,,,,,,,,37-45dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater for indoor use Electric Portable Heaters with Thermostat 750W/15...,62.52, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,Does not apply,,,,Moonflor,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus H7321bk Black Portable 360 Surround Ceramic Heater,64.01,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",General,0630326972318,Electric,Black,925109268M,,ADT Pulse,Coil,Optimus,1-Way,Copper,,Switch,Panel,120 V,Optimus H-7231,Floor,,Less Than 10 W,,,Oscillation,2,Bluetooth,,HC-12a,,1940,,,,,3 or Less,,,0630326972318,11 in,1 gal or Less (5 L),,100 sq ft or Less,,,,,,,Less Than 80%,None,,,,,,,Less Than 2000 BTU,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreo Space Heater 70° Oscillating PTC Ceramic Heater 1500W Electric Heater wi...,60.31,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,850032505857,,Space Gray,Does not apply,,,,Dreo,,,,,,,Does not apply,,,,,,,,,,,,,,10.3 inch,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0850032505857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Quality Home Heater Tabletop Heater For Home For Dorm For Camping For,64.52,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,As the description shows,Does not apply,,,,Unbranded,,,As the description shows,,,,,,,,,,,,,,,,,,As the description shows,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,As the description shows,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Legs Flat Panel Heater Space Saving Radiant Heat Desk Legs Heater 150W,64.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,,CL,,,,Indus-Tool/Bird-X,,,Panel,,,,Cozy Products CL-COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flat Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
